,名前,挿入→画像→画像をセル内に挿入,Created day,作者（敬称略）,コメント,モデル,ID,リンク,パフォーマンス（PC,Android,IOS,,,,,,
70,NISIKIEBIMAN,,Dec 31 2024,Kaiiiiiiiii,ISE,ゴシキエビ,avtr_51de7b30-a84f-4f43-8d17-f9b3bfcc7bb6,https://vrchat.com/home/avatar/avtr_51de7b30-a84f-4f43-8d17-f9b3bfcc7bb6,Poor,,,,,,,,
71,二刀流,,Feb 02 2025,Kaiiiiiiiii,オオカミウオ イトマキヒトデ コブヒトデ バラクーダ タチウオ,オオカミウオ イトマキヒトデ コブヒトデ バラクーダ タチウオ,avtr_2a61358b-ac75-4314-b3b5-5e7000c233fe,https://vrchat.com/home/avatar/avtr_2a61358b-ac75-4314-b3b5-5e7000c233fe,Very Poor,,,,,,,,
72,スシマン（マグロ）,,Feb 18 2024,Kaiiiiiiiii,Sushi Aquarium非公式キャラクター。,マグロの寿司,avtr_37973562-bba7-4702-ad91-51eeaf5ff59c,https://vrchat.com/home/avatar/avtr_37973562-bba7-4702-ad91-51eeaf5ff59c,Good,,,,,,,,
73,torafuzameman,,Feb 29 2024,Kaiiiiiiiii,,トラフザメ,avtr_c953c19e-bd5c-43e9-992f-485baa05009c,https://vrchat.com/home/avatar/avtr_c953c19e-bd5c-43e9-992f-485baa05009c,Good,,,,,,,,
74,RED,,Jan 11 2024,Kaiiiiiiiii,RED,レッドテールキャットフィッシュ,avtr_7ae3f876-80e5-451e-a389-2fec755344de,https://vrchat.com/home/avatar/avtr_7ae3f876-80e5-451e-a389-2fec755344de,Good,,,,,,,,
75,シルバーアロワナマン ,,Jan 25 2024,Kaiiiiiiiii,,シルバーアロワナ,avtr_f0e72f51-ea67-4934-bf2f-9173a8606d15,https://vrchat.com/home/avatar/avtr_f0e72f51-ea67-4934-bf2f-9173a8606d15,Good,,,,,,,,
76,ジンベイザメ兄貴,,Jul 02 2023,Kaiiiiiiiii,,ジンベエザメ,avtr_12090fdf-ae70-4d3d-b771-9dcfc9a083a4,https://vrchat.com/home/avatar/avtr_12090fdf-ae70-4d3d-b771-9dcfc9a083a4,Very Poor,Very Poor,,,,,,,
77,ガニ子,,Jul 19 2024,Kaiiiiiiiii,魚と人が好物の女の子。仲良くしてね。,カブトガニ,avtr_ec9206d8-ab3d-49ff-8e86-23cf59d5f225,https://vrchat.com/home/avatar/avtr_ec9206d8-ab3d-49ff-8e86-23cf59d5f225,Medium,Very Poor,,,,,,,
78,NapoleonHorse,,Jul 23 2023,Kaiiiiiiiii,ナポレオン82世,ナポレオンフィッシュ,avtr_20946610-aa1e-41dc-aa8b-64cc451ecd44,https://vrchat.com/home/avatar/avtr_20946610-aa1e-41dc-aa8b-64cc451ecd44,Medium,Very Poor,,,,,,,
79,眼張様,,Jul 29 2023,Kaiiiiiiiii,邪神。崇め奉れ。,眼張,avtr_88d83488-790a-403c-b135-15fd9106e027,https://vrchat.com/home/avatar/avtr_88d83488-790a-403c-b135-15fd9106e027,Very Poor,Very Poor,,,,,,,
80,木彫りの翻車魚,,Jun 20 2024,Kaiiiiiiiii,,マンボウ,avtr_0f8f2adb-41fb-49c3-a6a0-8e3c17193634,https://vrchat.com/home/avatar/avtr_0f8f2adb-41fb-49c3-a6a0-8e3c17193634,Excellent,Excellent,,,,,,,
81,スズキ君,,Jun 26 2024,Kaiiiiiiiii,,スズキ,avtr_ad68b866-f6fc-41f5-9342-381a261e68e7,https://vrchat.com/home/avatar/avtr_ad68b866-f6fc-41f5-9342-381a261e68e7,Excellent,Poor,,,,,,,
82,イトウさん,,Jun 27 2023,Kaiiiiiiiii,,イトウ,avtr_3f06fd08-5428-46de-97cb-e1adc8b384b6,https://vrchat.com/home/avatar/avtr_3f06fd08-5428-46de-97cb-e1adc8b384b6,Medium,Very Poor,,,,,,,
83,金槌男,,Mar 14 2024,Kaiiiiiiiii,＂Hammer Head Shark Head＂,シュモクザメ,avtr_1c2444a7-4647-4939-bef7-5c9b0ed606dd,https://vrchat.com/home/avatar/avtr_1c2444a7-4647-4939-bef7-5c9b0ed606dd,Medium,,,,,,,,
84,アオザメヘッド,,Mar 19 2024,Kaiiiiiiiii,すべての歯を抜歯済みなので安全․,アオザメ,avtr_958c1f69-e49c-4663-9df8-a3bbb27a5473,https://vrchat.com/home/avatar/avtr_958c1f69-e49c-4663-9df8-a3bbb27a5473,Medium,,,,,,,,
85,スパイダー・C・マン,,Mar 23 2024,Kaiiiiiiiii,Japanese Spider Crab Man,タカアシガニ,avtr_470d1274-3373-447a-887c-f9c5e663e97c,https://vrchat.com/home/avatar/avtr_470d1274-3373-447a-887c-f9c5e663e97c,Medium,Very Poor,,,,,,,
86,スズキさん,,May 05 2024,Kaiiiiiiiii,また おまえかー？,スズキ,avtr_d44f380e-dfcb-42c7-aecb-70d23fa52c57,https://vrchat.com/home/avatar/avtr_d44f380e-dfcb-42c7-aecb-70d23fa52c57,Medium,Very Poor,,,,,,,
87,寄生宿借,,May 26 2024,Kaiiiiiiiii,Memento Mori,ヤドカリ,avtr_b9041fe7-2f42-4768-9a56-3d2f0cb7101d,https://vrchat.com/home/avatar/avtr_b9041fe7-2f42-4768-9a56-3d2f0cb7101d,Medium,,,,,,,,
88,usibanatobiei,,Nov 05 2023,Kaiiiiiiiii,,ウシバナトビイ,avtr_7bb93386-e562-4c59-bc30-83cfa5e7ce15,https://vrchat.com/home/avatar/avtr_7bb93386-e562-4c59-bc30-83cfa5e7ce15,Good,,,,,,,,
89,DORADO,,Nov 26 2023,Kaiiiiiiiii,aaaaaaaaaaaaaaaa,ドラド,avtr_56f806e1-5e70-4654-aebd-5046ed655113,https://vrchat.com/home/avatar/avtr_56f806e1-5e70-4654-aebd-5046ed655113,Good,Poor,,,,,,,
